Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8012WN,Zwolle,Dak Gevel Ramen Vloer Zolder,03/09/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8014ZD,Zwolle,Dak Gevel Vloer Zolder,09/09/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Ittersum,Ittersum
8022AX,Zwolle,Gevel Vloer,17/09/2024,1300,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Hogenkamp,Diezerpoort
8021ER,Zwolle,Dak Gevel Vloer Zolder,19/09/2024,1300,Bodemisolatie (meer dan 20 m2),Nee,Ja,Het Noorden,Diezerpoort
8014PP,Zwolle,Dak Gevel Ramen Vloer Zolder,22/09/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Ittersumerlanden,Ittersum
8031KL,Zwolle,Dak Gevel Ramen Vloer Zolder,27/09/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Holtenbroek III,Holtenbroek
8012VS,Zwolle,Dak Gevel Ramen Vloer Zolder,02/10/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8021DL,Zwolle,Dak Gevel Ramen Vloer Zolder,21/10/2024,1300,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
8021WS,Zwolle,Gevel Ramen Vloer Zolder,19/11/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Bollebieste,Diezerpoort
8021BX,Zwolle,Ramen,20/11/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Dieze-Centrum,Diezerpoort
8032MP,Zwolle,Dak Gevel Ramen Vloer Zolder,30/11/2024,1300,Bodemisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Noord,Aa-landen
8012VS,Zwolle,,02/12/2024,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012TG,Zwolle,Dak Gevel Ramen Vloer Zolder,08/12/2024,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8032BN,Zwolle,Gevel Vloer Zolder,16/12/2024,1300,Gevelisolatie buitenzijde (meer dan 10 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8032BN,Zwolle,Ramen Vloer Zolder,16/12/2024,1300,Gevelisolatie buitenzijde (meer dan 10 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,18/12/2024,1300,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8012EA,Zwolle,Gevel Ramen Zolder,20/01/2025,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8012VR,Zwolle,Dak Gevel Vloer Zolder,13/02/2025,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,13/02/2025,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Ramen Zolder,19/02/2025,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
