Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Bedrijventerrein Floresstraat;185;186;438;37;74;18;16;131;98;31;18;15;0;129;276;33;32400;3
Wipstrik-Noord;1301;1304;3072;172;331;207;244;648;651;349;291;134;45;710;1892;470;40200;2
Wipstrik-Zuid;1852;1856;3374;133;224;156;266;878;604;411;399;221;82;513;2159;702;28200;11
Stationsbuurt;572;578;1352;54;101;63;288;347;214;116;91;42;36;218;965;169;37900;7
Oud-Assendorp;2117;2119;4103;172;262;144;888;1287;733;320;166;93;38;578;3228;297;29200;7
Nieuw-Assendorp;1411;1411;3057;179;325;189;420;720;621;286;204;92;21;693;2047;317;28800;8
Wezenlanden;463;501;903;27;62;58;68;159;183;134;131;57;24;147;544;212;28600;14
Pierik;1135;1145;2110;101;161;121;147;583;466;234;211;76;10;383;1430;297;25400;14
Bedrijventerrein Marslanden-Noord;0;14;38;0;4;4;6;4;12;6;2;0;0;8;28;2;-;-
Hanzeland;635;635;1142;24;47;42;184;304;213;125;119;70;14;113;826;203;33000;6
Kamperpoort;936;936;1668;38;72;66;289;509;184;158;132;104;116;176;1140;352;24100;18
Veerallee;662;662;1822;107;218;151;234;372;374;166;117;60;23;476;1146;200;40000;4
Bedrijventerrein Voorst-A;42;42;51;0;0;0;6;30;10;5;0;0;0;0;51;0;-;-
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Spoolde;117;117;316;10;30;33;17;25;74;46;60;17;4;73;162;81;36400;4
Oud-Westenholte;1011;1017;2506;127;295;198;198;433;496;311;225;169;54;620;1438;448;30400;7
Westenholte-Stins;1101;1105;2678;105;277;231;204;427;561;432;334;98;9;613;1624;441;30000;6
Vreugderijk;63;63;184;1;14;21;23;11;38;41;24;11;0;36;113;35;-;-
Bedrijventerrein Voorst-C;1;2;4;0;0;0;2;0;0;1;1;0;0;0;3;1;-;-
Bedrijventerrein Voorst-D;1;1;4;0;0;0;1;0;2;0;0;1;0;0;3;1;-;-
Frankhuis;2274;2321;6564;411;1014;748;405;1423;1828;421;203;90;21;2173;4077;314;33600;4
Mastenbroek;19;19;60;2;5;7;5;6;14;12;9;0;0;14;37;9;-;-
Schoonhorst;1866;1866;4309;208;449;384;351;893;1078;463;279;170;34;1041;2785;483;31800;6
Werkeren;1565;1588;4987;424;1028;465;184;1239;1131;172;134;113;97;1917;2726;344;35700;4
Milligen;2817;2820;7094;332;836;759;465;1258;1882;632;605;262;63;1927;4237;930;33000;5
De Tippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
Breecamp;594;594;1809;190;335;152;105;643;338;37;9;0;0;677;1123;9;32500;5
Breezicht;4;4;9;0;0;1;1;0;3;3;0;1;0;1;7;1;-;-
Stadsbroek;20;20;51;0;0;6;9;4;12;8;10;2;0;6;33;12;-;-
Holtenbroek IV;1662;1662;3174;105;226;185;334;589;518;342;401;310;164;516;1783;875;22800;20
Holtenbroek I;905;906;1890;127;224;122;144;564;375;161;124;40;9;473;1244;173;29900;8
Holtenbroek II;1377;1380;2710;128;298;170;286;897;541;171;139;67;13;596;1895;219;23600;18
Holtenbroek III;1078;1083;2300;91;243;165;211;584;463;282;162;81;18;499;1540;261;24100;18
Aa-landen-Zuid;1047;1047;2226;90;178;153;169;374;481;277;251;204;49;421;1301;504;25900;12
Aa-landen-Midden;2066;2066;3855;132;296;210;202;713;666;447;471;466;252;638;2028;1189;26200;12
Aa-landen-Noord;1594;1598;3905;148;424;297;265;530;733;512;614;321;61;869;2040;996;32100;5
Aa-landen-Oost;1450;1455;3358;161;328;217;185;519;618;492;583;223;32;706;1814;838;29900;7
Brinkhoek;263;263;633;15;38;54;46;48;112;114;117;73;16;107;320;206;74800;2
Langenholte;43;43;122;4;9;9;22;11;21;30;9;6;1;22;84;16;-;-
Haerst;108;109;279;4;17;25;23;39;60;56;42;7;6;46;178;55;59800;5
Berkum;1655;1671;3723;162;303;274;221;489;692;477;478;401;226;739;1879;1105;34900;5
Bedrijventerrein de Vrolijkheid;1;4;8;0;0;2;0;0;6;0;0;0;0;2;6;0;-;-
Veldhoek;102;102;250;5;14;29;19;28;55;39;33;23;5;48;141;61;53800;0
Kantorenterrein Oosterenk;74;74;131;0;0;7;56;51;7;3;5;2;0;7;117;7;-;-
Bedrijventerrein Hessenpoort;28;28;72;1;6;6;9;11;15;14;2;7;1;13;49;10;-;-
Tolhuislanden;55;55;170;7;19;16;23;29;30;27;11;8;0;42;109;19;-;-
Herfte;139;139;399;11;30;44;55;35;68;83;42;24;7;85;241;73;41800;4
Bedrijventerrein Marslanden-Zuid;9;9;162;0;4;8;7;67;57;14;2;3;0;12;145;5;-;-
Wijthmen;245;246;619;23;57;43;53;87;121;110;60;55;10;123;371;125;33800;2
Oud-Schelle;486;486;1400;61;189;149;111;194;331;174;110;60;21;399;810;191;41100;1
Schellerhoek;370;373;995;42;95;78;96;128;253;209;78;14;2;215;686;94;38600;1
Schellerbroek;695;695;1489;50;107;77;153;262;268;281;174;87;30;234;964;291;33000;7
Schellerlanden;1193;1201;2652;79;222;150;185;323;489;577;428;152;47;451;1574;627;32600;6
Oldenelerlanden-Oost;1005;1005;2387;118;247;179;155;463;501;424;227;62;11;544;1543;300;30900;6
Oldenelerlanden-West;568;568;1482;57;150;119;127;218;325;324;127;31;4;326;994;162;37400;4
Oldenelerbroek;1454;1459;3319;110;282;293;265;493;813;555;329;143;36;685;2126;508;32600;5
Schelle-Zuid en Oldeneel;66;66;176;0;15;22;17;3;34;36;27;19;3;37;90;49;-;-
Katerveer-Engelse werk;199;204;645;12;77;68;44;50;159;74;67;42;52;157;327;161;58800;3
Oud-Ittersum;520;520;1324;73;130;96;105;208;287;166;131;90;38;299;766;259;32400;2
Ittersumerlanden;1869;1869;3817;177;318;215;265;803;716;537;386;227;173;710;2321;786;26300;12
Ittersumerbroek;981;1006;2354;90;183;203;212;313;558;431;230;104;30;476;1514;364;32000;7
Geren;450;453;799;17;39;55;118;221;174;103;44;25;3;111;616;72;24400;18
Gerenlanden;1205;1205;3093;130;333;279;260;490;692;477;333;85;14;742;1919;432;33700;4
Gerenbroek;1192;1192;3126;129;351;291;214;542;671;573;293;57;5;771;2000;355;32300;3
Oude Mars;25;25;125;1;23;16;5;4;41;30;5;0;0;40;80;5;-;-
Windesheim;154;154;406;20;54;22;28;79;82;58;39;21;3;96;247;63;31300;3
Harculo en Hoog-Zuthem;139;139;502;11;36;43;23;34;95;98;77;49;36;90;250;162;41700;7
Onbekend;-;-;1;0;0;0;0;1;0;0;0;0;0;0;1;0;-;-
;;;;;;;;;;;;;;;;;;
Speciale waarden;- Niet van toepassing;;;;;;;;;;;;;;;;;
Bron;BAG;;;;;;;;;;;;;;;;;
;BAG / BRP;;;;;;;;;;;;;;;;;
;BRP;;;;;;;;;;;;;;;;;
;CBS;;;;;;;;;;;;;;;;;
Voetnoot;;;;;;;;;;;;;;;;;;
(1);Cijfers van 2025 zijn voorlopig.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
cijfersoverzwolle.nl;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Datum export;woensdag 19 maart 2025;;;;;;;;;;;;;;;;;
