buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
katerveer-engelse werk,199,204,632,16.0,70.0,68.0,37.0,53.0,151.0,79.0,63.0,39.0,56.0,154,320,158,55800,0
oud-ittersum,520,520,1315,65.0,125.0,101.0,104.0,197.0,288.0,170.0,128.0,101.0,36.0,291,759,265,30300,4
ittersumerlanden,1868,1868,3847,181.0,330.0,223.0,259.0,828.0,735.0,533.0,371.0,224.0,163.0,734,2355,758,25300,11
ittersumerbroek,981,1005,2387,90.0,188.0,231.0,207.0,307.0,602.0,421.0,204.0,108.0,29.0,509,1537,341,30400,8
geren,450,453,805,20.0,45.0,45.0,124.0,218.0,182.0,99.0,45.0,25.0,2.0,110,623,72,22900,17
gerenlanden,1205,1205,3117,136.0,320.0,299.0,257.0,495.0,722.0,474.0,321.0,76.0,17.0,755,1948,414,30900,5
gerenbroek,1192,1192,3157,146.0,372.0,300.0,199.0,530.0,711.0,580.0,265.0,49.0,5.0,818,2020,319,31300,3
oude mars,22,22,101,0.0,20.0,13.0,2.0,5.0,37.0,22.0,2.0,0.0,0.0,33,66,2,,-
windesheim,154,154,404,23.0,49.0,22.0,32.0,77.0,80.0,62.0,41.0,15.0,3.0,94,251,59,31300,3
harculo en hoog-zuthem,139,139,511,11.0,38.0,44.0,28.0,32.0,98.0,100.0,76.0,44.0,40.0,93,258,160,40600,7
