postal_code,place,bad_isolated_parts_of_the_house,date,amount_of_money,measures,do-it-yourself?,ventilation_measure?,buurt-naam,disctrict_cbs
8032BN,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-03-12,1000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8023TM,Zwolle,Dak Vloer Zolder,2024-03-23,997.5,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Wipstrik-Zuid,Wipstrik
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-15,995.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Oud-Assendorp,Assendorp
8012WK,Zwolle,Dak Gevel Vloer Zolder,2025-02-07,950.0,Bodemisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8013TH,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-26,883.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Pierik,Assendorp
8021BX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-08-24,810.97,Dakisolatie binnenzijde (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),ja,nee,Dieze-Centrum,Diezerpoort
8014BB,Zwolle,Vloer Zolder,2024-03-09,700.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,ja,Oud-Ittersum,Ittersum
8021DE,Zwolle,Dak Ramen Zolder,2024-02-20,616.7,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Het Noorden,Diezerpoort
8021DX,Zwolle,Dak Ramen Zolder,2024-04-23,569.05,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Het Noorden,Diezerpoort
8012BA,Zwolle,Dak Ramen Vloer Zolder,2024-06-03,496.73,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),ja,nee,Oud-Assendorp,Assendorp
8012VW,Zwolle,Dak Gevel Zolder,2024-04-01,471.33,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),ja,nee,Oud-Assendorp,Assendorp
8023TP,Zwolle,Dak Gevel Ramen Zolder,2024-02-29,455.0,Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Wipstrik-Zuid,Wipstrik
8014GD,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-06,0.0,Dakisolatie buitenzijde (meer dan 20 m2),nee,nee,Gerenlanden,Ittersum
