Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.64,0.2,0.0,?,2016
Veldhoek,8,0.4,0.2,0.5,0.64,0.2,0.0,15,2016
Kantorenterrein Oosterenk,?,0.0,0.0,?,0.64,0.2,0.0,5,2016
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0.64,0.2,0.0,5,2016
Tolhuislanden,4,0.2,0.1,0.2,0.64,0.2,0.0,5,2016
Herfte,11,0.6,0.3,0.6,0.64,0.2,0.0,20,2016
Bedrijventerrein Marslanden-Zuid,?,0.0,0.0,?,0.64,0.2,0.0,5,2016
Wijthmen,14,0.9,0.4,0.8,0.64,0.2,0.0,20,2016
Oud-Schelle,24,1.6,0.8,1.4,0.64,0.2,0.0,65,2016
Schellerhoek,15,1.2,0.6,0.8,0.64,0.2,0.0,65,2016
Schellerbroek,26,1.8,0.9,1.5,0.64,0.2,0.0,120,2016
Schellerlanden,45,3.3,1.6,2.6,0.64,0.2,0.0,155,2016
Oldenelerlanden-Oost,35,2.9,1.4,2,0.64,0.2,0.0,100,2016
Oldenelerlanden-West,23,1.8,0.9,1.3,0.64,0.2,0.0,85,2016
Oldenelerbroek,49,3.9,1.9,2.8,0.64,0.2,0.0,180,2016
Schelle-Zuid en Oldeneel,5,0.3,0.2,0.3,0.64,0.2,0.0,5,2016
Katerveer-Engelse werk,14,0.8,0.4,0.8,0.64,0.2,0.0,25,2016
Oud-Ittersum,24,1.5,0.7,1.3,0.64,0.2,0.0,70,2016
Ittersumerlanden,53,4.4,2.1,3,0.64,0.2,0.0,155,2016
Ittersumerbroek,35,2.8,1.4,2,0.64,0.2,0.0,100,2016
Geren,10,0.9,0.5,0.6,0.64,0.2,0.0,15,2016
Gerenlanden,52,3.8,1.9,3,0.64,0.2,0.0,170,2016
Gerenbroek,46,3.5,1.7,2.6,0.64,0.2,0.0,150,2016
Oude Mars,1,0.1,0.0,0.1,0.64,0.2,0.0,10,2016
Windesheim,8,0.5,0.2,0.4,0.64,0.2,0.0,20,2016
Harculo en Hoog-Zuthem,9,0.5,0.3,0.5,0.64,0.2,0.0,25,2016
Binnenstad-Zuid,48,3.1,1.4,2.7,0.63,0.2,0,?,2017
Binnenstad-Noord,16,1.1,0.5,0.9,0.63,0.2,6,?,2017
Noordereiland,12,0.8,0.4,0.7,0.63,0.2,0,?,2017
Het Noorden,28,1.5,0.7,1.6,0.63,0.2,0,5,2017
Schildersbuurt,5,0.4,0.2,0.3,0.63,0.2,0,5,2017
Bollebieste,33,1.9,0.9,1.9,0.63,0.2,0,70,2017
Dieze-Centrum,19,1.2,0.6,1.1,0.63,0.2,0,15,2017
Bagijneweide,16,1.1,0.5,0.9,0.63,0.2,0,10,2017
Hogenkamp,59,3.5,1.6,3.4,0.63,0.2,19,115,2017
Indischebuurt,17,1.1,0.5,0.9,0.63,0.2,0,50,2017
Meppelerstraatweg-Zuid,6,0.4,0.2,0.3,0.63,0.2,0,?,2017
Bedrijventerrein Floresstraat,5,0.4,0.2,0.3,0.63,0.2,0,10,2017
Wipstrik-Noord,64,3.6,1.6,3.6,0.63,0.2,0,85,2017
Wipstrik-Zuid,65,4.3,1.9,3.7,0.63,0.2,0,70,2017
Stationsbuurt,28,1.6,0.7,1.6,0.63,0.2,0,25,2017
Oud-Assendorp,82,4.7,2.1,4.6,0.63,0.2,0,100,2017
Nieuw-Assendorp,56,3.2,1.4,3.2,0.63,0.2,0,50,2017
Wezenlanden,14,0.8,0.3,0.8,0.63,0.2,0,50,2017
Pierik,38,2.2,1.0,2.2,0.63,0.2,0,245,2017
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.63,0.2,?,5,2017
Hanzeland,14,1.2,0.5,0.8,0.63,0.2,0,25,2017
Kamperpoort,19,1.5,0.7,1.1,0.63,0.2,0,45,2017
Veerallee,35,1.9,0.9,2,0.63,0.2,12,110,2017
Bedrijventerrein Voorst-A,1,0.1,0.0,0.1,0.63,0.2,0,?,2017
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.63,0.2,?,?,2017
Spoolde,7,0.4,0.2,0.4,0.63,0.2,1,20,2017
Oud-Westenholte,41,2.7,1.2,2.3,0.63,0.2,0,125,2017
Westenholte-Stins,42,3.0,1.3,2.3,0.63,0.2,0,155,2017
Vreugderijk,4,0.3,0.1,0.2,0.63,0.2,0,10,2017
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.63,0.2,?,?,2017
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.63,0.2,?,?,2017
Frankhuis,74,6.4,2.9,4.2,0.63,0.2,108,475,2017
Mastenbroek,?,0.0,0.0,?,0.63,0.2,0,?,2017
Schoonhorst,57,4.9,2.2,3.3,0.63,0.2,0,170,2017
Werkeren,50,4.2,1.9,2.9,0.63,0.2,0,?,2017
Milligen,85,7.8,3.5,4.8,0.63,0.2,56,285,2017
Tippe bij de IJssel,?,0.0,0.0,?,0.63,0.2,?,?,2017
Breecamp,?,1.6,0.7,?,0.63,0.2,27,130,2017
Breezicht,?,0.0,0.0,?,0.63,0.2,0,?,2017
Stadsbroek,2,0.1,0.0,0.1,0.63,0.2,0,5,2017
Holtenbroek IV,53,3.6,1.6,3,0.63,0.2,0,60,2017
Holtenbroek I,14,2.1,0.9,0.8,0.63,0.2,0,215,2017
Holtenbroek II,46,2.7,1.2,2.6,0.63,0.2,0,145,2017
Holtenbroek III,44,2.5,1.1,2.5,0.63,0.2,0,35,2017
Aa-landen-Zuid,39,2.8,1.3,2.2,0.63,0.2,0,45,2017
Aa-landen-Midden,71,4.2,1.9,4,0.63,0.2,20,225,2017
Aa-landen-Noord,71,4.3,1.9,4,0.63,0.2,0,140,2017
Aa-landen-Oost,59,3.7,1.7,3.4,0.63,0.2,0,140,2017
Brinkhoek,23,1.2,0.5,1.3,0.63,0.2,0,30,2017
Langenholte,4,0.2,0.1,0.2,0.63,0.2,0,5,2017
Haerst,7,0.4,0.2,0.4,0.63,0.2,1,10,2017
Berkum,80,4.5,2.0,4.5,0.63,0.2,0,245,2017
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.63,0.2,0,?,2017
Veldhoek,8,0.4,0.2,0.5,0.63,0.2,1,15,2017
Kantorenterrein Oosterenk,?,0.0,0.0,?,0.63,0.2,0,5,2017
Bedrijventerrein Hessenpoort,2,0.1,0.0,0.1,0.63,0.2,0,5,2017
Tolhuislanden,3,0.2,0.1,0.2,0.63,0.2,0,5,2017
Herfte,11,0.6,0.3,0.6,0.63,0.2,0,25,2017
Bedrijventerrein Marslanden-Zuid,?,0.0,0.0,?,0.63,0.2,0,5,2017
Wijthmen,14,0.9,0.4,0.8,0.63,0.2,0,20,2017
Oud-Schelle,24,1.6,0.7,1.4,0.63,0.2,0,80,2017
Schellerhoek,16,1.2,0.5,0.9,0.63,0.2,0,70,2017
Schellerbroek,27,1.8,0.8,1.5,0.63,0.2,0,130,2017
Schellerlanden,45,3.2,1.5,2.6,0.63,0.2,0,170,2017
Oldenelerlanden-Oost,36,2.8,1.2,2,0.63,0.2,0,120,2017
Oldenelerlanden-West,23,1.7,0.8,1.3,0.63,0.2,0,95,2017
Oldenelerbroek,49,3.8,1.7,2.8,0.63,0.2,0,195,2017
Schelle-Zuid en Oldeneel,5,0.3,0.1,0.3,0.63,0.2,1,5,2017
Katerveer-Engelse werk,14,0.9,0.4,0.8,0.63,0.2,2,30,2017
Oud-Ittersum,24,1.5,0.7,1.4,0.63,0.2,0,90,2017
Ittersumerlanden,54,4.3,1.9,3,0.63,0.2,19,200,2017
Ittersumerbroek,35,2.8,1.2,2,0.63,0.2,0,115,2017
Geren,11,0.9,0.4,0.6,0.63,0.2,0,15,2017
Gerenlanden,53,3.7,1.6,3,0.63,0.2,0,200,2017
Gerenbroek,45,3.4,1.5,2.6,0.63,0.2,0,165,2017
Oude Mars,1,0.1,0.1,0.1,0.63,0.2,1,10,2017
