postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011CN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,32.0,
8011CN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Vloerisolatie,Vloerisolatie,1.0,,50.0,
8011CN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,104.0,
8011CN,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8011CV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,ZAKELIJKE MARKT,2024.0,Warmtepomp,Grond-water > 10 kW en <= 70 kW,1.0,75.0,,3.0
8011EA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,53.0,
8011EA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8011EA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,85.0,
8011EA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,14.0,,1.0
8011GG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Dakisolatie,Zolder- of vlieringvloer,1.0,,80.0,
8011GG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,124.0,
8011GG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,11.0,,1.0
8011GK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,38.0,
8011GK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8011GL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,144.0,
8011GL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,168.0,
8011GL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,56.0,
8011GP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,41.0,
8011GP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,30.0,
8011GP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,45.0,
8011GR,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011GS,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GS,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,32.0,
8011GT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011GT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,170.0,
8011GV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Dakisolatie,Dakisolatie,1.0,,25.0,
8011GV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Warmtepomp,Lucht-water >= 1 kW en < 3,,,,
8011GV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,50.0,
8011GV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Bodemisolatie,2.0,,59.0,
8011HA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,105.0,
8011HA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,63.0,
8011HC,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,15.0,
8011HC,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,50.0,
8011HG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,20.0,
8011HG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,12.0,
8011HG,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,2.0,,139.0,
