datum_afspraak_coachgesprek,postcode,telling,valid_postcode,latitude,longitude
2024-03-20,8032MP,68,True,52.5371343,6.0955801
2024-03-21,8016HK,69,True,52.4907778,6.1029738
2024-03-23,8014MK,70,True,52.4824191,6.1192853
2024-03-28,8042AD,71,True,52.5257839,6.051097
2024-03-28,8224HP,72,True,52.5099072,5.4959554
2024-03-30,8033DG,73,True,52.5403331,6.1085961
2024-04-04,8012CR,74,True,52.5034784,6.1041007
2024-08-04,8014PP,75,True,52.4770254,6.1126255
2024-09-04,8013AD,76,True,52.5042623,6.1126225
2024-11-04,8033CL,77,True,52.5365464,6.1121474
2024-11-04,8033AG,78,True,52.5323167,6.1110459
2024-12-04,8023AZ,79,True,52.5163899,6.1166917
2024-04-15,8031TN,80,True,52.5304789,6.083398
2024-04-17,8016BK,81,True,52.4802962,6.1077854
2024-04-17,8017MR,82,True,52.4922766,6.0953406
2024-04-17,8012DT,83,True,52.5058385,6.1030115
2024-04-19,8012CX,84,True,52.501584,6.1055914
2024-04-24,8017BG,85,True,52.4990888,6.0991291
2024-04-24,8023BG,86,True,52.516095,6.1162903
2024-04-30,8031KL,87,True,52.5284457,6.0847403
2024-08-05,8011VX,88,True,52.5144749,6.0998214
2024-05-15,8031GB,89,True,52.5273426,6.075396
2024-04-06,8033DW,90,True,52.5380507,6.1071863
2024-05-06,8016BL,91,True,52.4796727,6.1077455
2024-05-06,8011CV,92,True,52.507789,6.0931608
2024-10-06,8015BV,93,True,52.4750747,6.1227199
2024-12-06,8023VA,94,True,52.511065,6.1075556
2024-06-14,8033CC,95,True,52.5363937,6.1099802
2024-06-20,8012CS,96,True,52.5028178,6.1037124
2024-06-26,8014ZD,97,True,52.4864024,6.1073123
2024-05-07,8023TX,98,True,52.5119679,6.1088736
2024-09-07,8043XG,99,True,52.5244124,6.060578
2024-09-07,8033BH,100,True,52.5323496,6.1143251
2024-10-07,8032TV,101,True,52.5376908,6.1001862
2024-12-08,8032NJ,102,True,52.5403718,6.0956809
2024-08-19,8043VD,103,True,52.5305619,6.0534309
2024-08-19,8031DK,104,True,52.5233135,6.0894606
2024-08-30,8033DM,105,True,52.5385115,6.1059557
2024-10-09,8012EA,106,True,52.5039861,6.1056877
2024-11-09,8023AR,107,True,52.516734,6.1156142
2024-09-13,8043XW,108,True,52.5268606,6.0567709
2024-09-13,8011GL,109,True,52.5059452,6.0936646
2024-09-13,8023AZ,110,True,52.5163899,6.1166917
2024-09-20,8032XK,111,True,52.533501,6.0941386
2024-09-21,8016AV,112,True,52.4839998,6.1044018
2024-09-25,8014ZB,113,True,52.4862929,6.110915
2024-09-25,8023DP,114,True,52.5097154,6.1165727
2024-09-27,8032XK,115,True,52.533501,6.0941386
2024-10-10,8032TB,116,True,52.5392911,6.098988
2024-10-16,8012AE,117,True,52.5012449,6.1047147
2024-10-17,8012VN,118,True,52.5056812,6.1002502
2024-10-21,8014PR,119,True,52.4761676,6.1117948
2024-10-23,8014BA,120,True,52.4875143,6.1083451
2024-10-23,8014EM,121,True,52.4912847,6.1150779
2024-10-24,8033DJ,122,True,52.5394742,6.1069211
2024-10-25,8031JH,123,True,52.5288043,6.077953
2024-10-28,8032CW,124,True,52.5280942,6.1106181
2024-10-28,8014DA,125,True,52.4902207,6.111696
2024-10-30,8042EZ,126,True,52.5203323,6.0517897
2024-10-30,8033DA,127,True,52.5387505,6.109507
2024-04-11,8043XW,128,True,52.5268606,6.0567709
2024-04-11,8012DW,129,True,52.5044294,6.1045888
2024-05-11,8014CG,130,True,52.4918459,6.1110336
2024-06-11,8032TB,131,True,52.5392911,6.098988
2024-06-11,8033DJ,132,True,52.5394742,6.1069211
2024-08-11,8033BE,133,True,52.5323386,6.1130689
2024-09-11,8019AT,134,True,52.5076292,6.0770968
2024-12-11,8032XD,135,True,52.5338082,6.0919257
2024-11-13,8013AE,136,True,52.501388,6.1104113
2024-11-14,8043XL,137,True,52.5233647,6.0604259
