buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
aa-landen-midden,2066,2066,3855,132.0,296.0,210.0,202.0,713.0,666.0,447.0,471.0,466.0,252.0,638,2028,1189,26200.0,12,2019
aa-landen-noord,1594,1598,3905,148.0,424.0,297.0,265.0,530.0,733.0,512.0,614.0,321.0,61.0,869,2040,996,32100.0,5,2019
aa-landen-oost,1450,1455,3358,161.0,328.0,217.0,185.0,519.0,618.0,492.0,583.0,223.0,32.0,706,1814,838,29900.0,7,2019
brinkhoek,263,263,633,15.0,38.0,54.0,46.0,48.0,112.0,114.0,117.0,73.0,16.0,107,320,206,74800.0,2,2019
langenholte,43,43,122,4.0,9.0,9.0,22.0,11.0,21.0,30.0,9.0,6.0,1.0,22,84,16,,-,2019
haerst,108,109,279,4.0,17.0,25.0,23.0,39.0,60.0,56.0,42.0,7.0,6.0,46,178,55,59800.0,5,2019
berkum,1655,1671,3723,162.0,303.0,274.0,221.0,489.0,692.0,477.0,478.0,401.0,226.0,739,1879,1105,34900.0,5,2019
bedrijventerrein de vrolijkheid,1,4,8,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2,6,0,,-,2019
veldhoek,102,102,250,5.0,14.0,29.0,19.0,28.0,55.0,39.0,33.0,23.0,5.0,48,141,61,53800.0,0,2019
kantorenterrein oosterenk,74,74,131,0.0,0.0,7.0,56.0,51.0,7.0,3.0,5.0,2.0,0.0,7,117,7,,-,2019
bedrijventerrein hessenpoort,28,28,72,1.0,6.0,6.0,9.0,11.0,15.0,14.0,2.0,7.0,1.0,13,49,10,,-,2019
tolhuislanden,55,55,170,7.0,19.0,16.0,23.0,29.0,30.0,27.0,11.0,8.0,0.0,42,109,19,,-,2019
herfte,139,139,399,11.0,30.0,44.0,55.0,35.0,68.0,83.0,42.0,24.0,7.0,85,241,73,41800.0,4,2019
bedrijventerrein marslanden-zuid,9,9,162,0.0,4.0,8.0,7.0,67.0,57.0,14.0,2.0,3.0,0.0,12,145,5,,-,2019
wijthmen,245,246,619,23.0,57.0,43.0,53.0,87.0,121.0,110.0,60.0,55.0,10.0,123,371,125,33800.0,2,2019
oud-schelle,486,486,1400,61.0,189.0,149.0,111.0,194.0,331.0,174.0,110.0,60.0,21.0,399,810,191,41100.0,1,2019
schellerhoek,370,373,995,42.0,95.0,78.0,96.0,128.0,253.0,209.0,78.0,14.0,2.0,215,686,94,38600.0,1,2019
schellerbroek,695,695,1489,50.0,107.0,77.0,153.0,262.0,268.0,281.0,174.0,87.0,30.0,234,964,291,33000.0,7,2019
schellerlanden,1193,1201,2652,79.0,222.0,150.0,185.0,323.0,489.0,577.0,428.0,152.0,47.0,451,1574,627,32600.0,6,2019
oldenelerlanden-oost,1005,1005,2387,118.0,247.0,179.0,155.0,463.0,501.0,424.0,227.0,62.0,11.0,544,1543,300,30900.0,6,2019
oldenelerlanden-west,568,568,1482,57.0,150.0,119.0,127.0,218.0,325.0,324.0,127.0,31.0,4.0,326,994,162,37400.0,4,2019
oldenelerbroek,1454,1459,3319,110.0,282.0,293.0,265.0,493.0,813.0,555.0,329.0,143.0,36.0,685,2126,508,32600.0,5,2019
schelle-zuid en oldeneel,66,66,176,0.0,15.0,22.0,17.0,3.0,34.0,36.0,27.0,19.0,3.0,37,90,49,,-,2019
katerveer-engelse werk,199,204,645,12.0,77.0,68.0,44.0,50.0,159.0,74.0,67.0,42.0,52.0,157,327,161,58800.0,3,2019
oud-ittersum,520,520,1324,73.0,130.0,96.0,105.0,208.0,287.0,166.0,131.0,90.0,38.0,299,766,259,32400.0,2,2019
ittersumerlanden,1869,1869,3817,177.0,318.0,215.0,265.0,803.0,716.0,537.0,386.0,227.0,173.0,710,2321,786,26300.0,12,2019
ittersumerbroek,981,1006,2354,90.0,183.0,203.0,212.0,313.0,558.0,431.0,230.0,104.0,30.0,476,1514,364,32000.0,7,2019
geren,450,453,799,17.0,39.0,55.0,118.0,221.0,174.0,103.0,44.0,25.0,3.0,111,616,72,24400.0,18,2019
gerenlanden,1205,1205,3093,130.0,333.0,279.0,260.0,490.0,692.0,477.0,333.0,85.0,14.0,742,1919,432,33700.0,4,2019
gerenbroek,1192,1192,3126,129.0,351.0,291.0,214.0,542.0,671.0,573.0,293.0,57.0,5.0,771,2000,355,32300.0,3,2019
oude mars,25,25,125,1.0,23.0,16.0,5.0,4.0,41.0,30.0,5.0,0.0,0.0,40,80,5,,-,2019
windesheim,154,154,406,20.0,54.0,22.0,28.0,79.0,82.0,58.0,39.0,21.0,3.0,96,247,63,31300.0,3,2019
harculo en hoog-zuthem,139,139,502,11.0,36.0,43.0,23.0,34.0,95.0,98.0,77.0,49.0,36.0,90,250,162,41700.0,7,2019
binnenstad-zuid,1503,1504,2323,30.0,65.0,75.0,490.0,965.0,319.0,166.0,141.0,59.0,13.0,170,1940,213,35300.0,9,2020
binnenstad-noord,592,595,856,13.0,15.0,16.0,168.0,397.0,113.0,51.0,60.0,19.0,4.0,44,729,83,30700.0,11,2020
noordereiland,465,484,783,19.0,13.0,30.0,69.0,209.0,161.0,120.0,120.0,32.0,10.0,62,559,162,42000.0,7,2020
het noorden,1128,1132,1577,53.0,46.0,21.0,404.0,564.0,216.0,97.0,79.0,72.0,25.0,120,1281,176,24900.0,20,2020
schildersbuurt,174,174,360,9.0,28.0,17.0,54.0,69.0,76.0,49.0,30.0,26.0,2.0,54,248,58,28700.0,12,2020
bollebieste,975,975,1689,58.0,106.0,79.0,189.0,482.0,287.0,172.0,132.0,120.0,64.0,243,1130,316,24800.0,21,2020
dieze-centrum,601,603,995,29.0,42.0,39.0,191.0,355.0,143.0,94.0,64.0,30.0,8.0,110,783,102,26500.0,12,2020
bagijneweide,454,466,837,24.0,27.0,25.0,156.0,204.0,126.0,84.0,85.0,78.0,28.0,76,570,191,35500.0,6,2020
hogenkamp,1929,1938,3232,157.0,208.0,149.0,296.0,1170.0,536.0,246.0,183.0,155.0,132.0,514,2248,470,25700.0,14,2020
indischebuurt,592,592,1039,41.0,93.0,60.0,124.0,322.0,202.0,82.0,76.0,32.0,7.0,194,730,115,22200.0,26,2020
meppelerstraatweg-zuid,264,264,379,23.0,19.0,2.0,33.0,205.0,58.0,21.0,13.0,4.0,1.0,44,317,18,20000.0,20,2020
bedrijventerrein floresstraat,185,186,434,26.0,78.0,22.0,18.0,113.0,109.0,33.0,19.0,14.0,2.0,126,273,35,33700.0,5,2020
wipstrik-noord,1301,1304,3076,174.0,343.0,215.0,232.0,643.0,641.0,350.0,296.0,140.0,42.0,732,1866,478,40800.0,2,2020
wipstrik-zuid,1852,1856,3332,138.0,207.0,145.0,236.0,879.0,618.0,382.0,413.0,221.0,93.0,490,2115,727,29200.0,12,2020
stationsbuurt,573,579,1357,51.0,94.0,66.0,274.0,356.0,220.0,123.0,90.0,50.0,33.0,211,973,173,36600.0,7,2020
oud-assendorp,2113,2115,4110,171.0,274.0,131.0,835.0,1325.0,721.0,341.0,183.0,92.0,37.0,576,3222,312,30200.0,8,2020
nieuw-assendorp,1418,1418,3055,168.0,323.0,194.0,431.0,694.0,627.0,292.0,215.0,89.0,22.0,685,2044,326,30200.0,8,2020
wezenlanden,516,556,1035,32.0,84.0,59.0,77.0,205.0,219.0,145.0,134.0,58.0,22.0,175,646,214,32800.0,11,2020
pierik,1164,1174,2141,102.0,149.0,128.0,153.0,606.0,458.0,244.0,209.0,81.0,11.0,379,1461,301,26600.0,13,2020
bedrijventerrein marslanden-noord,0,14,37,0.0,4.0,3.0,7.0,2.0,11.0,8.0,2.0,0.0,0.0,7,28,2,,-,2020
hanzeland,636,636,1131,26.0,44.0,47.0,161.0,329.0,184.0,127.0,122.0,76.0,15.0,117,801,213,34500.0,4,2020
kamperpoort,1044,1044,1809,51.0,78.0,58.0,297.0,597.0,200.0,170.0,142.0,108.0,108.0,187,1264,358,25500.0,17,2020
veerallee,672,672,1870,98.0,233.0,153.0,259.0,362.0,389.0,173.0,126.0,49.0,28.0,484,1183,203,41300.0,3,2020
bedrijventerrein voorst-a,42,43,54,0.0,0.0,0.0,7.0,33.0,9.0,5.0,0.0,0.0,0.0,0,54,0,,-,2020
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2020
spoolde,117,117,318,9.0,32.0,31.0,19.0,28.0,74.0,45.0,56.0,21.0,3.0,72,166,80,39600.0,0,2020
oud-westenholte,1019,1025,2533,128.0,281.0,215.0,212.0,410.0,518.0,299.0,231.0,173.0,66.0,624,1439,470,30800.0,7,2020
westenholte-stins,1102,1107,2654,96.0,252.0,231.0,208.0,415.0,552.0,427.0,357.0,105.0,11.0,579,1602,473,31000.0,6,2020
vreugderijk,65,65,182,1.0,16.0,22.0,15.0,13.0,40.0,40.0,19.0,16.0,0.0,39,108,35,,-,2020
bedrijventerrein voorst-c,1,1,5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5,0,,-,2020
bedrijventerrein voorst-d,1,1,4,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,3,1,,-,2020
frankhuis,2297,2344,6644,422.0,957.0,756.0,451.0,1403.0,1841.0,466.0,230.0,92.0,26.0,2135,4161,348,35100.0,4,2020
mastenbroek,19,19,57,1.0,6.0,5.0,7.0,6.0,12.0,13.0,7.0,0.0,0.0,12,38,7,,-,2020
schoonhorst,1867,1867,4306,208.0,430.0,364.0,339.0,902.0,1069.0,466.0,304.0,181.0,43.0,1002,2776,528,33000.0,5,2020
werkeren,1653,1676,5292,408.0,1074.0,543.0,219.0,1222.0,1276.0,183.0,156.0,104.0,107.0,2025,2900,367,37300.0,3,2020
milligen,2817,2820,7002,305.0,800.0,728.0,488.0,1184.0,1857.0,670.0,611.0,294.0,65.0,1833,4199,970,33900.0,4,2020
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2020
breecamp,721,721,2245,225.0,433.0,217.0,112.0,746.0,440.0,60.0,12.0,0.0,0.0,875,1358,12,34100.0,6,2020
breezicht,4,4,9,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0,8,1,,-,2020
stadsbroek,20,20,55,2.0,1.0,5.0,10.0,4.0,13.0,8.0,8.0,4.0,0.0,8,35,12,,-,2020
holtenbroek iv,1662,1662,3108,87.0,214.0,188.0,317.0,587.0,505.0,345.0,391.0,315.0,159.0,489,1754,865,23400.0,21,2020
holtenbroek i,892,893,1896,114.0,222.0,136.0,148.0,526.0,398.0,164.0,130.0,50.0,8.0,472,1236,188,30700.0,7,2020
holtenbroek ii,1379,1382,2675,134.0,265.0,167.0,282.0,879.0,535.0,190.0,137.0,70.0,16.0,566,1886,223,24500.0,19,2020
holtenbroek iii,1078,1083,2284,104.0,227.0,167.0,219.0,566.0,463.0,273.0,165.0,83.0,17.0,498,1521,265,24600.0,19,2020
aa-landen-zuid,1047,1047,2195,88.0,165.0,152.0,158.0,380.0,453.0,296.0,248.0,204.0,51.0,405,1287,503,27200.0,12,2020
aa-landen-midden,2066,2066,3904,148.0,312.0,221.0,199.0,723.0,663.0,443.0,488.0,442.0,265.0,681,2028,1195,27100.0,13,2020
aa-landen-noord,1593,1597,3865,143.0,416.0,289.0,291.0,505.0,721.0,495.0,613.0,329.0,63.0,848,2012,1005,31900.0,5,2020
aa-landen-oost,1450,1455,3364,137.0,337.0,219.0,200.0,508.0,612.0,503.0,559.0,251.0,38.0,693,1823,848,30800.0,7,2020
brinkhoek,265,265,639,23.0,41.0,52.0,42.0,48.0,115.0,105.0,115.0,79.0,19.0,116,310,213,62800.0,2,2020
langenholte,44,44,123,5.0,9.0,7.0,20.0,10.0,22.0,33.0,11.0,6.0,0.0,21,85,17,,-,2020
haerst,108,108,282,7.0,19.0,17.0,24.0,44.0,57.0,58.0,42.0,7.0,7.0,43,183,56,36300.0,8,2020
berkum,1656,1671,3761,160.0,313.0,279.0,235.0,497.0,689.0,474.0,485.0,402.0,227.0,752,1895,1114,35400.0,5,2020
bedrijventerrein de vrolijkheid,1,4,8,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2,6,0,,-,2020
veldhoek,103,104,266,9.0,17.0,22.0,25.0,35.0,61.0,36.0,32.0,24.0,5.0,48,157,61,60500.0,0,2020
kantorenterrein oosterenk,123,123,175,0.0,0.0,5.0,74.0,60.0,16.0,12.0,6.0,2.0,0.0,5,162,8,21100.0,20,2020
bedrijventerrein hessenpoort,32,32,75,2.0,6.0,4.0,9.0,10.0,17.0,16.0,4.0,5.0,2.0,12,52,11,,-,2020
tolhuislanden,55,55,174,12.0,18.0,13.0,22.0,28.0,32.0,29.0,8.0,12.0,0.0,43,111,20,,-,2020
herfte,139,139,393,13.0,29.0,37.0,55.0,41.0,69.0,78.0,44.0,18.0,9.0,79,243,71,40400.0,3,2020
bedrijventerrein marslanden-zuid,9,9,171,0.0,2.0,10.0,11.0,67.0,61.0,18.0,1.0,1.0,0.0,12,157,2,,-,2020
wijthmen,245,246,604,15.0,55.0,42.0,52.0,90.0,112.0,116.0,54.0,57.0,11.0,112,370,122,33700.0,4,2020
oud-schelle,486,486,1393,47.0,187.0,149.0,119.0,178.0,331.0,177.0,122.0,59.0,24.0,383,805,205,40100.0,1,2020
schellerhoek,370,373,979,37.0,88.0,86.0,91.0,132.0,230.0,219.0,78.0,15.0,3.0,211,672,96,40700.0,1,2020
schellerbroek,695,695,1442,54.0,97.0,80.0,146.0,253.0,250.0,263.0,189.0,79.0,31.0,231,912,299,34200.0,8,2020
schellerlanden,1194,1202,2607,73.0,216.0,148.0,166.0,315.0,459.0,581.0,438.0,163.0,48.0,437,1521,649,33700.0,6,2020
oldenelerlanden-oost,1005,1005,2390,121.0,238.0,189.0,143.0,476.0,468.0,429.0,249.0,64.0,13.0,548,1516,326,32100.0,6,2020
oldenelerlanden-west,568,568,1467,58.0,159.0,102.0,124.0,208.0,314.0,325.0,138.0,36.0,3.0,319,971,177,39400.0,5,2020
oldenelerbroek,1454,1459,3305,106.0,262.0,271.0,282.0,495.0,750.0,593.0,356.0,152.0,38.0,639,2120,546,33400.0,6,2020
schelle-zuid en oldeneel,68,68,174,0.0,8.0,22.0,21.0,3.0,33.0,34.0,27.0,23.0,3.0,30,91,53,,-,2020
katerveer-engelse werk,200,205,647,8.0,68.0,72.0,52.0,43.0,164.0,80.0,56.0,43.0,61.0,148,339,160,68700.0,3,2020
oud-ittersum,576,576,1460,84.0,145.0,106.0,112.0,254.0,306.0,176.0,141.0,89.0,47.0,335,848,277,33800.0,4,2020
ittersumerlanden,1876,1876,3859,184.0,312.0,217.0,253.0,841.0,682.0,546.0,398.0,248.0,178.0,713,2322,824,28300.0,11,2020
ittersumerbroek,981,1006,2329,82.0,179.0,180.0,227.0,324.0,523.0,444.0,236.0,108.0,26.0,441,1518,370,33100.0,7,2020
geren,450,453,808,17.0,39.0,51.0,120.0,229.0,179.0,86.0,55.0,29.0,3.0,107,614,87,26000.0,16,2020
gerenlanden,1208,1208,3061,122.0,336.0,257.0,251.0,528.0,652.0,469.0,341.0,95.0,10.0,715,1900,446,33800.0,4,2020
gerenbroek,1192,1192,3096,137.0,322.0,303.0,206.0,532.0,646.0,554.0,327.0,64.0,5.0,762,1938,396,33500.0,3,2020
oude mars,29,29,129,1.0,23.0,16.0,6.0,3.0,40.0,34.0,6.0,0.0,0.0,40,83,6,,-,2020
windesheim,155,155,393,20.0,53.0,17.0,32.0,74.0,79.0,58.0,37.0,23.0,0.0,90,243,60,33700.0,3,2020
harculo en hoog-zuthem,141,141,515,11.0,31.0,43.0,32.0,31.0,94.0,112.0,78.0,45.0,38.0,85,269,161,39800.0,4,2020
binnenstad-zuid,1526,1527,2338,29.0,56.0,70.0,487.0,977.0,321.0,174.0,145.0,63.0,16.0,155,1959,224,35100.0,8,2021
binnenstad-noord,599,602,838,12.0,10.0,16.0,174.0,380.0,115.0,51.0,59.0,17.0,4.0,38,720,80,32000.0,10,2021
noordereiland,524,541,867,17.0,16.0,33.0,68.0,238.0,175.0,133.0,137.0,43.0,7.0,66,614,187,46700.0,6,2021
het noorden,1245,1251,1642,43.0,41.0,22.0,463.0,578.0,217.0,101.0,82.0,69.0,26.0,106,1359,177,25800.0,19,2021
schildersbuurt,175,175,360,10.0,24.0,18.0,51.0,75.0,74.0,44.0,34.0,28.0,2.0,52,244,64,31200.0,12,2021
bollebieste,976,976,1626,52.0,100.0,72.0,176.0,451.0,284.0,166.0,147.0,115.0,63.0,224,1077,325,26300.0,19,2021
dieze-centrum,604,607,1000,25.0,34.0,40.0,186.0,376.0,137.0,94.0,70.0,31.0,7.0,99,793,108,27600.0,12,2021
bagijneweide,477,489,830,21.0,23.0,24.0,152.0,216.0,125.0,85.0,83.0,70.0,31.0,68,578,184,36700.0,6,2021
hogenkamp,1985,1994,3365,167.0,231.0,170.0,293.0,1224.0,555.0,253.0,202.0,151.0,119.0,568,2325,472,27000.0,14,2021
indischebuurt,593,593,1038,44.0,90.0,53.0,142.0,321.0,185.0,91.0,72.0,31.0,9.0,187,739,112,22900.0,25,2021
meppelerstraatweg-zuid,264,264,372,21.0,19.0,3.0,40.0,185.0,64.0,25.0,12.0,3.0,0.0,43,314,15,22600.0,18,2021
bedrijventerrein floresstraat,185,186,428,26.0,76.0,24.0,13.0,94.0,122.0,37.0,17.0,16.0,3.0,126,266,36,34400.0,6,2021
wipstrik-noord,1301,1304,3095,187.0,335.0,229.0,223.0,651.0,640.0,348.0,300.0,136.0,46.0,751,1862,482,43000.0,2,2021
wipstrik-zuid,1856,1860,3319,125.0,206.0,143.0,226.0,877.0,630.0,373.0,427.0,223.0,89.0,474,2106,739,30500.0,13,2021
stationsbuurt,574,580,1344,55.0,82.0,75.0,260.0,362.0,214.0,121.0,93.0,54.0,28.0,212,957,175,38200.0,7,2021
oud-assendorp,2126,2128,4087,161.0,274.0,136.0,801.0,1318.0,727.0,356.0,188.0,94.0,32.0,571,3202,314,31300.0,7,2021
nieuw-assendorp,1420,1420,3053,165.0,318.0,187.0,409.0,735.0,609.0,295.0,219.0,93.0,23.0,670,2048,335,31800.0,8,2021
wezenlanden,623,663,1233,37.0,111.0,78.0,77.0,283.0,248.0,147.0,166.0,64.0,22.0,226,755,252,33600.0,11,2021
pierik,1164,1174,2135,107.0,139.0,129.0,151.0,613.0,461.0,246.0,189.0,87.0,13.0,375,1471,289,27800.0,13,2021
bedrijventerrein marslanden-noord,0,14,35,0.0,4.0,1.0,8.0,0.0,10.0,10.0,2.0,0.0,0.0,5,28,2,,-,2021
hanzeland,636,636,1130,31.0,35.0,44.0,170.0,320.0,183.0,134.0,117.0,83.0,13.0,110,807,213,36000.0,5,2021
kamperpoort,1310,1310,2160,57.0,76.0,53.0,348.0,789.0,231.0,199.0,177.0,128.0,102.0,186,1567,407,27700.0,15,2021
veerallee,683,683,1905,113.0,240.0,161.0,237.0,355.0,407.0,172.0,139.0,50.0,31.0,514,1171,220,43200.0,3,2021
bedrijventerrein voorst-a,42,42,55,0.0,0.0,0.0,6.0,35.0,9.0,3.0,2.0,0.0,0.0,0,53,2,,-,2021
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2021
spoolde,117,117,321,9.0,36.0,30.0,19.0,27.0,79.0,42.0,52.0,23.0,4.0,75,167,79,41800.0,0,2021
oud-westenholte,1032,1038,2524,130.0,258.0,235.0,209.0,391.0,532.0,293.0,243.0,167.0,66.0,623,1425,476,32100.0,7,2021
westenholte-stins,1102,1107,2614,82.0,237.0,222.0,199.0,421.0,539.0,419.0,371.0,114.0,10.0,541,1578,495,32200.0,6,2021
vreugderijk,65,65,181,1.0,16.0,20.0,16.0,14.0,39.0,37.0,21.0,16.0,1.0,37,106,38,,-,2021
bedrijventerrein voorst-c,1,1,4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4,0,,-,2021
bedrijventerrein voorst-d,1,1,4,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,4,0,,-,2021
frankhuis,2317,2363,6649,426.0,902.0,781.0,465.0,1374.0,1811.0,493.0,275.0,95.0,27.0,2109,4143,397,37000.0,4,2021
mastenbroek,19,19,52,1.0,3.0,5.0,7.0,6.0,8.0,15.0,7.0,0.0,0.0,9,36,7,,-,2021
schoonhorst,1867,1867,4286,205.0,421.0,362.0,337.0,871.0,1064.0,481.0,311.0,185.0,49.0,988,2753,545,34500.0,5,2021
werkeren,1653,1675,5261,356.0,1037.0,586.0,240.0,1125.0,1340.0,212.0,166.0,109.0,90.0,1979,2917,365,39200.0,3,2021
milligen,2820,2823,6938,303.0,747.0,703.0,519.0,1188.0,1765.0,700.0,617.0,322.0,74.0,1753,4172,1013,34800.0,4,2021
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2021
breecamp,818,818,2631,243.0,489.0,284.0,150.0,811.0,554.0,85.0,14.0,1.0,0.0,1016,1600,15,36300.0,5,2021
breezicht,154,154,371,37.0,55.0,36.0,29.0,132.0,62.0,11.0,6.0,3.0,0.0,128,234,9,30300.0,11,2021
stadsbroek,20,20,56,2.0,1.0,4.0,12.0,4.0,16.0,5.0,8.0,4.0,0.0,7,37,12,,-,2021
holtenbroek iv,1663,1663,3145,87.0,213.0,214.0,310.0,607.0,494.0,362.0,384.0,313.0,161.0,514,1773,858,24500.0,20,2021
holtenbroek i,892,893,1875,103.0,206.0,150.0,143.0,517.0,392.0,165.0,135.0,57.0,7.0,459,1217,199,32300.0,8,2021
holtenbroek ii,1379,1382,2613,132.0,250.0,172.0,255.0,863.0,517.0,204.0,129.0,78.0,13.0,554,1839,220,25600.0,19,2021
holtenbroek iii,1078,1083,2222,89.0,200.0,165.0,226.0,527.0,471.0,281.0,161.0,87.0,15.0,454,1505,263,25900.0,17,2021
aa-landen-zuid,1046,1046,2173,97.0,156.0,138.0,174.0,386.0,414.0,297.0,251.0,203.0,57.0,391,1271,511,28300.0,11,2021
aa-landen-midden,2066,2066,3846,128.0,313.0,231.0,190.0,719.0,653.0,449.0,457.0,452.0,254.0,672,2011,1163,28200.0,12,2021
aa-landen-noord,1593,1597,3823,146.0,387.0,306.0,278.0,507.0,723.0,479.0,582.0,343.0,72.0,839,1987,997,33500.0,5,2021
aa-landen-oost,1451,1456,3371,135.0,349.0,235.0,185.0,498.0,612.0,498.0,545.0,281.0,33.0,719,1793,859,32100.0,7,2021
brinkhoek,265,265,643,25.0,39.0,52.0,43.0,52.0,107.0,108.0,114.0,79.0,24.0,116,310,217,67200.0,0,2021
langenholte,44,44,127,5.0,12.0,7.0,17.0,11.0,24.0,31.0,13.0,6.0,1.0,24,83,20,,-,2021
haerst,108,108,283,10.0,18.0,11.0,28.0,45.0,58.0,55.0,43.0,8.0,7.0,39,186,58,40100.0,4,2021
berkum,1656,1671,3802,159.0,341.0,259.0,267.0,505.0,686.0,480.0,472.0,396.0,237.0,759,1938,1105,36200.0,5,2021
bedrijventerrein de vrolijkheid,1,4,8,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1,7,0,,-,2021
veldhoek,105,105,267,8.0,20.0,20.0,27.0,30.0,61.0,37.0,34.0,22.0,8.0,48,155,64,61100.0,5,2021
kantorenterrein oosterenk,123,123,181,0.0,0.0,7.0,67.0,73.0,15.0,10.0,7.0,2.0,0.0,7,165,9,20200.0,25,2021
bedrijventerrein hessenpoort,32,32,77,1.0,6.0,5.0,10.0,9.0,18.0,15.0,6.0,6.0,1.0,12,52,13,,-,2021
tolhuislanden,55,55,173,10.0,19.0,15.0,23.0,23.0,34.0,24.0,13.0,12.0,0.0,44,104,25,,-,2021
herfte,141,141,386,9.0,26.0,39.0,43.0,37.0,67.0,80.0,58.0,17.0,10.0,74,227,85,43200.0,3,2021
bedrijventerrein marslanden-zuid,9,9,171,0.0,2.0,8.0,17.0,70.0,54.0,15.0,3.0,2.0,0.0,10,156,5,,-,2021
wijthmen,247,248,596,15.0,52.0,40.0,57.0,79.0,111.0,111.0,58.0,62.0,11.0,107,358,131,35100.0,2,2021
oud-schelle,486,486,1423,55.0,197.0,135.0,130.0,181.0,337.0,181.0,123.0,63.0,21.0,387,829,207,43900.0,1,2021
schellerhoek,370,373,976,43.0,86.0,85.0,76.0,144.0,223.0,223.0,83.0,11.0,2.0,214,666,96,41700.0,1,2021
schellerbroek,695,695,1453,50.0,99.0,81.0,140.0,267.0,250.0,258.0,192.0,88.0,28.0,230,915,308,35700.0,8,2021
schellerlanden,1194,1202,2616,74.0,220.0,145.0,171.0,310.0,420.0,598.0,450.0,178.0,50.0,439,1499,678,34700.0,5,2021
oldenelerlanden-oost,1005,1005,2386,111.0,236.0,188.0,157.0,469.0,439.0,429.0,270.0,72.0,15.0,535,1494,357,33200.0,6,2021
oldenelerlanden-west,568,568,1437,59.0,146.0,112.0,110.0,208.0,292.0,322.0,148.0,36.0,4.0,317,932,188,40200.0,5,2021
oldenelerbroek,1452,1457,3238,98.0,239.0,262.0,290.0,474.0,704.0,588.0,379.0,162.0,42.0,599,2056,583,35300.0,6,2021
schelle-zuid en oldeneel,68,68,173,0.0,8.0,21.0,18.0,6.0,30.0,37.0,27.0,23.0,3.0,29,91,53,,-,2021
katerveer-engelse werk,202,207,659,7.0,62.0,74.0,63.0,40.0,160.0,91.0,58.0,49.0,55.0,143,354,162,59200.0,2,2021
oud-ittersum,578,578,1466,78.0,162.0,96.0,109.0,256.0,301.0,183.0,150.0,93.0,38.0,336,849,281,34900.0,3,2021
ittersumerlanden,1874,1874,3794,190.0,298.0,224.0,230.0,843.0,645.0,533.0,405.0,267.0,159.0,712,2251,831,28500.0,11,2021
ittersumerbroek,981,1006,2311,77.0,172.0,171.0,219.0,313.0,504.0,465.0,256.0,109.0,25.0,420,1501,390,34600.0,7,2021
geren,450,453,797,27.0,31.0,46.0,122.0,222.0,170.0,96.0,51.0,27.0,5.0,104,610,83,26100.0,17,2021
gerenlanden,1222,1222,3067,126.0,319.0,249.0,269.0,536.0,617.0,478.0,354.0,100.0,19.0,694,1900,473,35300.0,3,2021
gerenbroek,1192,1192,3076,133.0,315.0,287.0,217.0,519.0,640.0,541.0,346.0,74.0,4.0,735,1917,424,34900.0,3,2021
oude mars,29,29,130,0.0,21.0,15.0,8.0,2.0,41.0,35.0,8.0,0.0,0.0,36,86,8,,-,2021
windesheim,155,155,397,21.0,50.0,18.0,33.0,70.0,83.0,57.0,39.0,26.0,0.0,89,243,65,34900.0,3,2021
harculo en hoog-zuthem,141,141,509,9.0,33.0,34.0,37.0,25.0,87.0,114.0,86.0,45.0,39.0,76,263,170,42200.0,0,2021
binnenstad-zuid,1565,1566,2367,34.0,49.0,58.0,477.0,987.0,350.0,183.0,131.0,80.0,18.0,141,1997,229,,,2023
