buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
oldenelerlanden-west,556,556,1482,65.0,135.0,151.0,147.0,182.0,409.0,295.0,74.0,20.0,4.0,351,1033,98,32900.0,7,2015
oldenelerbroek,1438,1443,3420,111.0,346.0,351.0,240.0,536.0,940.0,489.0,253.0,128.0,26.0,808,2205,407,29000.0,7,2015
schelle-zuid en oldeneel,68,68,193,7.0,25.0,17.0,14.0,15.0,39.0,31.0,29.0,13.0,3.0,49,99,45,,.,2015
katerveer-engelse werk,196,201,589,17.0,76.0,71.0,22.0,60.0,156.0,65.0,59.0,24.0,39.0,164,303,122,44000.0,0,2015
oud-ittersum,519,519,1292,52.0,115.0,119.0,89.0,205.0,300.0,151.0,132.0,106.0,23.0,286,745,261,28300.0,2,2015
ittersumerlanden,1868,1868,3916,220.0,355.0,238.0,232.0,851.0,802.0,523.0,296.0,260.0,139.0,813,2408,695,23600.0,11,2015
ittersumerbroek,980,1005,2471,86.0,220.0,273.0,204.0,318.0,703.0,354.0,184.0,102.0,27.0,579,1579,313,29300.0,6,2015
geren,450,453,830,26.0,45.0,57.0,140.0,215.0,193.0,90.0,44.0,18.0,2.0,128,638,64,21400.0,19,2015
gerenlanden,1205,1205,3217,155.0,361.0,312.0,265.0,507.0,789.0,489.0,257.0,66.0,16.0,828,2050,339,29000.0,4,2015
gerenbroek,1191,1191,3218,162.0,414.0,279.0,217.0,563.0,804.0,527.0,209.0,36.0,7.0,855,2111,252,29000.0,3,2015
oude mars,14,14,75,2.0,13.0,4.0,2.0,8.0,27.0,18.0,1.0,0.0,0.0,19,55,1,,.,2015
windesheim,154,154,401,29.0,34.0,36.0,31.0,72.0,87.0,54.0,42.0,11.0,5.0,99,244,58,28100.0,6,2015
harculo en hoog-zuthem,136,136,476,13.0,31.0,29.0,29.0,25.0,95.0,90.0,70.0,56.0,38.0,73,239,164,31300.0,8,2015
binnenstad-zuid,1298,1299,2143,40.0,58.0,49.0,431.0,912.0,305.0,164.0,130.0,46.0,8.0,147,1812,184,30400.0,10,2016
binnenstad-noord,563,565,838,16.0,8.0,12.0,173.0,370.0,116.0,58.0,66.0,17.0,2.0,36,717,85,27800.0,12,2016
noordereiland,321,341,545,16.0,21.0,20.0,48.0,145.0,103.0,80.0,76.0,25.0,11.0,57,376,112,31800.0,11,2016
het noorden,1029,1034,1489,51.0,48.0,22.0,455.0,451.0,190.0,94.0,82.0,72.0,24.0,121,1190,178,21600.0,19,2016
schildersbuurt,175,175,393,24.0,35.0,18.0,40.0,92.0,84.0,39.0,39.0,20.0,2.0,77,255,61,25200.0,14,2016
bollebieste,938,938,1738,60.0,150.0,88.0,193.0,451.0,316.0,165.0,146.0,107.0,62.0,298,1125,315,20800.0,21,2016
dieze-centrum,548,550,1003,41.0,55.0,33.0,204.0,297.0,161.0,101.0,62.0,41.0,8.0,129,763,111,23700.0,13,2016
bagijneweide,401,413,759,23.0,20.0,29.0,135.0,166.0,133.0,80.0,73.0,69.0,31.0,72,514,173,31200.0,7,2016
hogenkamp,1911,1920,3011,139.0,187.0,100.0,299.0,1175.0,474.0,194.0,161.0,151.0,131.0,426,2142,443,22000.0,18,2016
indischebuurt,578,578,1056,51.0,83.0,37.0,169.0,329.0,181.0,90.0,70.0,31.0,15.0,171,769,116,19600.0,24,2016
meppelerstraatweg-zuid,264,264,374,16.0,14.0,6.0,47.0,182.0,67.0,26.0,11.0,4.0,1.0,36,322,16,19700.0,18,2016
bedrijventerrein floresstraat,185,186,431,59.0,53.0,11.0,14.0,158.0,80.0,25.0,17.0,14.0,0.0,123,277,31,29400.0,3,2016
wipstrik-noord,1296,1299,3078,178.0,357.0,229.0,222.0,618.0,654.0,370.0,260.0,141.0,49.0,764,1864,450,35700.0,3,2016
wipstrik-zuid,1850,1854,3393,153.0,222.0,178.0,263.0,866.0,662.0,379.0,343.0,220.0,107.0,553,2170,670,25700.0,12,2016
stationsbuurt,567,573,1406,81.0,107.0,70.0,299.0,348.0,220.0,119.0,90.0,42.0,30.0,258,986,162,31500.0,10,2016
oud-assendorp,1986,1988,4275,229.0,269.0,146.0,949.0,1383.0,717.0,255.0,152.0,94.0,81.0,644,3304,327,26700.0,8,2016
nieuw-assendorp,1408,1408,3181,207.0,354.0,178.0,421.0,796.0,637.0,279.0,190.0,90.0,29.0,739,2133,309,26500.0,9,2016
wezenlanden,341,379,628,20.0,43.0,24.0,28.0,105.0,124.0,99.0,113.0,49.0,23.0,87,356,185,24100.0,15,2016
