Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Pierik,38,1.1,2.2,1.2,1.0,2.2,2.0,0.63,0.2,1135,0,245,825,727,0.0,22%,1140,2180,21500,41100
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,?,?,5,10,-,0.0,-,15,35,?,?
Hanzeland,14,0.4,1.2,0.4,0.5,0.8,0.8,0.63,0.2,478,0,25,65,125,0.0,5%,565,1000,29900,52900
Kamperpoort,19,0.6,1.5,0.6,0.7,1.1,1.0,0.63,0.2,668,0,45,90,120,0.0,6%,810,1380,20700,35300
Veerallee,35,1.0,1.9,1.1,0.9,2,1.8,0.63,0.2,558,12,110,210,350,0.0,18%,760,1610,30900,65500
Bedrijventerrein Voorst-A,1,0.0,0.1,0,0.0,0.1,0.1,0.63,0.2,39,0,?,?,?,0.0,?,50,60,?,?
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,?,?,?,?,?,0.0,?,5,5,?,?
Spoolde,7,0.2,0.4,0.2,0.2,0.4,0.4,0.63,0.2,112,1,20,70,609,0.0,17%,115,295,27400,70300
Oud-Westenholte,41,1.2,2.7,1.3,1.2,2.3,2.2,0.63,0.2,965,0,125,350,359,0.0,13%,995,2450,22500,55400
Westenholte-Stins,42,1.2,3.0,1.3,1.3,2.3,2.2,0.63,0.2,1100,0,155,385,350,0.0,14%,1125,2725,22300,54000
Vreugderijk,4,0.1,0.3,0.1,0.1,0.2,0.2,0.63,0.2,64,0,10,40,615,0.0,15%,65,180,27900,77300
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,?,?,?,?,?,0.0,?,0,5,?,?
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,?,?,?,?,?,0.0,?,0,5,?,?
Frankhuis,74,2.2,6.4,2.3,2.9,4.2,3.9,0.63,0.2,2013,108,475,1275,589,0.0,22%,2185,6390,24400,71400
Mastenbroek,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,19,0,?,?,?,0.0,?,20,60,?,?
Schoonhorst,57,1.7,4.9,1.8,2.2,3.3,3.1,0.63,0.2,1865,0,170,455,244,0.0,9%,1835,4395,25500,61100
Werkeren,50,1.5,4.2,1.6,1.9,2.9,2.7,0.63,0.2,1377,0,?,?,?,0.0,?,1405,4545,25600,82800
Milligen,85,2.5,7.8,2.7,3.5,4.8,4.5,0.63,0.2,2473,56,285,805,286,0.0,10%,2815,7190,25200,64400
Tippe bij de IJssel,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,?,?,?,?,?,0.0,?,5,10,?,?
Breecamp,?,0.0,1.6,?,0.7,?,0.0,0.63,0.2,5,27,130,385,846,0.0,29%,445,1270,22200,63400
Breezicht,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,5,0,?,?,?,0.0,?,5,10,?,?
Stadsbroek,2,0.0,0.1,0,0.0,0.1,0.1,0.63,0.2,19,0,5,20,1000,0.0,25%,20,60,?,?
Holtenbroek IV,53,1.6,3.6,1.7,1.6,3,2.8,0.63,0.2,1609,0,60,220,135,0.0,4%,1755,3115,18800,33400
Holtenbroek I,14,0.4,2.1,0.5,0.9,0.8,0.8,0.63,0.2,543,0,215,315,354,0.0,24%,880,1885,24200,51800
Holtenbroek II,46,1.4,2.7,1.4,1.2,2.6,2.4,0.63,0.2,1307,0,145,365,277,0.0,11%,1370,2650,18400,35600
Holtenbroek III,44,1.3,2.5,1.4,1.1,2.5,2.4,0.63,0.2,1080,0,35,90,83,0.0,3%,1150,2355,17800,36500
Aa-landen-Zuid,39,1.2,2.8,1.2,1.3,2.2,2.1,0.63,0.2,956,0,45,155,148,0.0,4%,1065,2210,20500,42500
Aa-landen-Midden,71,2.1,4.2,2.2,1.9,4,3.8,0.63,0.2,1787,20,225,755,380,0.0,11%,1960,3720,22800,43300
Aa-landen-Noord,71,2.1,4.3,2.2,1.9,4,3.8,0.63,0.2,1595,0,140,400,251,0.0,9%,1645,3835,24100,56200
Aa-landen-Oost,59,1.8,3.7,1.9,1.7,3.4,3.2,0.63,0.2,1430,0,140,365,255,0.0,10%,1440,3290,23400,53500
Brinkhoek,23,0.7,1.2,0.7,0.5,1.3,1.3,0.63,0.2,257,0,30,155,585,0.0,11%,265,610,54600,125700
Langenholte,4,0.1,0.2,0.1,0.1,0.2,0.2,0.63,0.2,38,0,5,30,667,0.0,11%,40,110,39200,107800
Haerst,7,0.2,0.4,0.2,0.2,0.4,0.4,0.63,0.2,93,1,10,65,619,0.0,10%,105,265,28100,70900
Berkum,80,2.4,4.5,2.5,2.0,4.5,4.3,0.63,0.2,1556,0,245,825,498,0.0,15%,1605,3735,28000,65200
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,0,0,?,?,?,0.0,?,5,5,?,?
Veldhoek,8,0.3,0.4,0.3,0.2,0.5,0.4,0.63,0.2,87,1,15,55,550,0.0,15%,95,245,38100,98300
Kantorenterrein Oosterenk,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,5,0,5,10,2000,0.0,100%,10,20,?,?
Bedrijventerrein Hessenpoort,2,0.1,0.1,0.1,0.0,0.1,0.1,0.63,0.2,26,0,5,15,500,0.0,17%,30,70,?,?
Tolhuislanden,3,0.1,0.2,0.1,0.1,0.2,0.2,0.63,0.2,45,0,5,25,455,9.9,9%,60,180,22400,67200
Herfte,11,0.3,0.6,0.3,0.3,0.6,0.6,0.63,0.2,122,0,25,130,929,0.0,18%,150,385,27000,69300
Bedrijventerrein Marslanden-Zuid,?,0.0,0.0,?,0.0,?,0.0,0.63,0.2,6,0,5,50,5000,0.0,50%,15,150,?,?
Wijthmen,14,0.4,0.9,0.4,0.4,0.8,0.7,0.63,0.2,225,0,20,105,420,0.0,8%,245,620,23500,59500
Oud-Schelle,24,0.7,1.6,0.8,0.7,1.4,1.3,0.63,0.2,475,0,80,260,536,0.0,16%,510,1375,28300,76300
Schellerhoek,16,0.5,1.2,0.5,0.5,0.9,0.8,0.63,0.2,340,0,70,225,608,0.0,19%,360,1005,30600,85400
Schellerbroek,27,0.8,1.8,0.8,0.8,1.5,1.4,0.63,0.2,688,0,130,400,576,0.0,19%,665,1480,29200,65000
Schellerlanden,45,1.4,3.2,1.4,1.5,2.6,2.4,0.63,0.2,1190,0,170,510,429,0.0,14%,1215,2750,27400,62000
Oldenelerlanden-Oost,36,1.1,2.8,1.1,1.2,2,1.9,0.63,0.2,1005,0,120,345,343,0.0,12%,1000,2435,24300,59200
Oldenelerlanden-West,23,0.7,1.7,0.7,0.8,1.3,1.2,0.63,0.2,555,0,95,310,559,0.0,17%,570,1455,30500,77900
Oldenelerbroek,49,1.5,3.8,1.5,1.7,2.8,2.6,0.63,0.2,1411,0,195,625,434,0.0,14%,1410,3365,27300,65200
Schelle-Zuid en Oldeneel,5,0.2,0.3,0.2,0.1,0.3,0.3,0.63,0.2,63,1,5,40,571,0.0,7%,70,180,31200,80200
Katerveer-Engelse werk,14,0.4,0.9,0.5,0.4,0.8,0.8,0.63,0.2,194,2,30,110,550,0.0,15%,195,590,40300,121900
Oud-Ittersum,24,0.7,1.5,0.8,0.7,1.4,1.3,0.63,0.2,520,0,90,255,490,0.0,17%,525,1305,24000,59700
Ittersumerlanden,54,1.6,4.3,1.7,1.9,3,2.9,0.63,0.2,1739,19,200,505,270,0.0,11%,1830,3865,21700,45800
Ittersumerbroek,35,1.1,2.8,1.1,1.2,2,1.9,0.63,0.2,970,0,115,370,378,0.0,12%,1005,2430,26600,64300
Geren,11,0.3,0.9,0.3,0.4,0.6,0.6,0.63,0.2,446,0,15,55,122,0.0,3%,495,810,22800,37300
Gerenlanden,53,1.6,3.7,1.7,1.6,3,2.8,0.63,0.2,1205,0,200,555,461,0.0,17%,1240,3185,24400,62700
Gerenbroek,45,1.4,3.4,1.4,1.5,2.6,2.4,0.63,0.2,1190,0,165,445,374,0.0,14%,1185,3165,24100,64400
Oude Mars,1,0.0,0.1,0,0.1,0.1,0.1,0.63,0.2,14,1,10,55,2750,0.0,50%,15,90,?,?
Windesheim,7,0.2,0.5,0.2,0.2,0.4,0.4,0.63,0.2,150,2,25,110,710,0.0,16%,150,400,24700,65900
Harculo en Hoog-Zuthem,10,0.3,0.5,0.3,0.2,0.5,0.5,0.63,0.2,133,0,30,145,1036,0.0,21%,135,500,29400,108900
