telling,datum_afspraak_coachgesprek,postcode,latitude,longitude
67,2023-03-04,8025AR,52.50928133548387,6.121104977419355
68,2023-04-04,8015PT,52.44722683636364,6.112468559090909
69,2023-07-04,8015PW,52.45735664210526,6.11322307368421
70,2023-04-13,8016MG,52.47509087272727,6.108542836363637
71,2023-04-14,8014GE,52.48884013,6.1208420100000005
72,2023-04-19,8014EJ,52.4914725,6.113419466666667
73,2023-04-19,8014CD,52.491094136363635,6.110681168181818
74,2023-04-19,8017DE,52.4980057,6.08498416
75,2023-04-23,8032TE,52.539460824,6.100138764
76,2023-04-24,8016AW,52.483841208,6.105006428
77,2023-04-25,8022RT,52.520505189999994,6.11112061
78,2023-04-28,8032LM,52.537457640909096,6.090434222727272
79,2023-02-05,8012WD,52.50535361052632,6.101815889473684
80,2023-10-05,8014CT,52.486794575,6.114022575
81,2023-10-05,8023DJ,52.51396303571428,6.113778914285714
82,2023-12-05,8014AM,52.4865822,6.1105746
83,2023-12-05,8043VN,52.528791593548384,6.05448854516129
84,2023-05-15,8017JB,52.5015206,6.0935362
85,2023-05-16,8014MN,52.482037176,6.11988424
86,2023-05-17,8016LL,52.477764263157894,6.1050874578947365
87,2023-05-22,8032LM,52.537457640909096,6.090434222727272
88,2023-05-22,8032TE,52.539460824,6.100138764
89,2023-05-25,8015BR,52.47513754285714,6.120244066666666
90,2023-05-30,8032XG,52.534789814285716,6.0921179
91,2023-06-25,8032JG,52.53269881,6.10317225
92,2023-06-29,8012WX,52.50559745882353,6.104500923529412
93,2023-02-08,8012WN,52.505224931578944,6.1011538684210525
94,2023-08-14,8012DZ,52.50413297692308,6.105291823076923
95,2023-08-18,8012AJ,52.50445960434782,6.097707365217391
96,2023-08-24,8032GA,52.5301648882353,6.0980251
97,2023-04-09,8012DL,52.503231192307695,6.105483230769231
98,2023-09-15,8014PN,52.476479196666666,6.112715993333333
99,2023-09-18,8033BH,52.532349571428576,6.1143250857142855
100,2023-09-20,8032DT,52.528615936,6.099633472
101,2023-09-22,8022BC,52.52316478888889,6.115009277777777
102,2023-09-28,8032AH,52.525026885,6.10169039
103,2023-02-10,8032GN,52.531068919999996,6.099794928571429
104,2023-11-10,8014PA,52.477794576190476,6.114691161904762
105,2023-10-13,8012XS,52.50270332105263,6.108595915789474
106,2023-10-16,8033CK,52.53702447647059,6.111008082352941
107,2023-10-17,8016GC,52.48847277058824,6.097648952941176
108,2023-10-20,8012CW,52.5017273625,6.1055552625
109,2023-10-24,8017NM,52.494629536842105,6.093510515789474
110,2023-10-27,8032ZJ,52.535102814285715,6.09633895
