postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023.0,Dakisolatie,Dakisolatie,52.507994960000005,6.091973691428572
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.507994960000005,6.091973691428572
8011GA,Wijk 13 Assendorp,Stationsbuurt,2022.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.505415014814815,6.092489818518518
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Zolder- of vlieringvloer,52.50648440555556,6.092032455555556
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50648440555556,6.092032455555556
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1,52.50648440555556,6.092032455555556
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1,52.50648440555556,6.092032455555556
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.50648440555556,6.092032455555556
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1,52.506292825,6.09380885
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie,52.506292825,6.09380885
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1,52.506292825,6.09380885
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,Isolerende deur Ud <= 1,52.506292825,6.09380885
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Dakisolatie,52.50594516818182,6.0936646136363635
