postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN
8011CN,Wijk 13 Assendorp,Stationsbuurt,2021,Vloerisolatie,Vloerisolatie,52.50892253,6.086579048,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CN,Wijk 13 Assendorp,Stationsbuurt,2023,Spouwmuurisolatie,Spouwmuurisolatie,52.50892253,6.086579048,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CN,Wijk 13 Assendorp,Stationsbuurt,2023,Warmtepomp,Lucht-water >= 3,52.50892253,6.086579048,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011CV,Wijk 13 Assendorp,Stationsbuurt,2024,Warmtepomp,Grond-water > 10 kW en <= 70 kW,52.50778901,6.09316075,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011EA,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50799496,6.091973691,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011EA,Wijk 13 Assendorp,Stationsbuurt,2022,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50799496,6.091973691,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023,Dakisolatie,Dakisolatie,52.50799496,6.091973691,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011EA,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50799496,6.091973691,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GA,Wijk 13 Assendorp,Stationsbuurt,2022,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.50541501,6.092489819,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022,Dakisolatie,Zolder- of vlieringvloer,52.50648441,6.092032456,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50648441,6.092032456,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GG,Wijk 13 Assendorp,Stationsbuurt,2022,Glasisolatie,HR++ glas U <= 1,52.50648441,6.092032456,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,HR++ glas U <= 1,52.50648441,6.092032456,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GG,Wijk 13 Assendorp,Stationsbuurt,2024,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.50648441,6.092032456,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022,Glasisolatie,HR++ glas U <= 1,52.50629283,6.09380885,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GK,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50629283,6.09380885,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,HR++ glas U <= 1,52.50629283,6.09380885,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GK,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,Isolerende deur Ud <= 1,52.50629283,6.09380885,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022,Dakisolatie,Dakisolatie,52.50594517,6.093664614,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50594517,6.093664614,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022,Glasisolatie,HR++ glas U <= 1,52.50594517,6.093664614,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50594517,6.093664614,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022,Dakisolatie,Dakisolatie,52.50546491,6.093764791,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022,Spouwmuurisolatie,Spouwmuurisolatie,52.50546491,6.093764791,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GP,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Vloerisolatie,52.50546491,6.093764791,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GR,Wijk 13 Assendorp,Stationsbuurt,2024,Warmtepomp,Lucht-water >= 3,52.50531464,6.094701993,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GS,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50615203,6.0937002,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GS,Wijk 13 Assendorp,Stationsbuurt,2024,Vloerisolatie,Vloerisolatie,52.50615203,6.0937002,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GT,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50574692,6.094575332,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GT,Wijk 13 Assendorp,Stationsbuurt,2024,Spouwmuurisolatie,Spouwmuurisolatie,52.50574692,6.094575332,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021,Dakisolatie,Dakisolatie,52.50656775,6.093641623,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50656775,6.093641623,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023,Spouwmuurisolatie,Spouwmuurisolatie,52.50656775,6.093641623,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Bodemisolatie,52.50656775,6.093641623,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024,Gevelisolatie,Binnen- of buitengevelisolatie,52.50686778,6.094350729,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024,Vloerisolatie,Vloerisolatie,52.50686778,6.094350729,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50676947,6.094217686,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50676947,6.094217686,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023,Dakisolatie,Dakisolatie,52.50748743,6.094557133,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023,Gevelisolatie,Binnen- of buitengevelisolatie,52.50748743,6.094557133,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50748743,6.094557133,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021,Spouwmuurisolatie,Spouwmuurisolatie,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021,Vloerisolatie,Bodemisolatie,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021,Vloerisolatie,Vloerisolatie,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023,Glasisolatie,HR++ glas U <= 1,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
