projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
SDE1630599,SDE,2019,Zonne-energie,"22,943",52.508943,6.0938137,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
SDE1634793,SDE,2017,Zonne-energie,"27,432",52.530155,6.1725409,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1663545,SDE,2019,Zonne-energie,"124,659",52.516907,6.0842113,30.0,109.0,110.0,Het noorden,Het Noorden,250575.999896122,2149.23921637447,Het Noorden
SDE1667088,SDE,2021,Zonne-energie,"12,697",52.498614,6.1484783,11.0,90.0,410.0,Herfte,Herfte,7623847.09543273,13915.743123537599,Herfte
SDE1679947,SDE,2018,Zonne-energie,"29,127",52.555559,6.0399575,67.0,146.0,221.0,Mastenbroek,Mastenbroek,5784331.32285213,11288.809315706401,Mastenbroek
SDE1683433,SDE,2019,Zonne-energie,"142,358",52.489252,6.1395124,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1689450,SDE,2019,Zonne-energie,"45,871",52.541343,6.0560669,76.0,155.0,224.0,Milligen,Milligen,1617664.30720597,7156.91013286262,Milligen
SDE1698513,SDE,2017,Zonne-energie,"18,810",52.518058,6.0967737,58.0,137.0,112.0,Bollebieste,Bollebieste,258651.97835298,2216.6026383323,Bollebieste
SDE1707177,SDE,2019,Zonne-energie,"108,927",52.515414,6.0758396,1.0,80.0,200.0,Bedrijventerrein Voorst-A,Bedrijventerrein Voorst-A,713035.579721149,3729.35067426883,Bedrijventerrein Voorst-A
SDE1712017,SDE,2019,Biomassa,"1,192,725",52.510421,6.0426833,60.0,139.0,212.0,Vreugderijk,Vreugderijk,3948383.61894746,9460.25818838226,Vreugderijk
SDE1717669,SDE,2020,Zonne-energie,"174,135",52.507456,6.1026053,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1719471,SDE,2019,Zonne-energie,"348,769",52.494627,6.1251695,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1719737,SDE,2020,Zonne-energie,"130,972",52.51899,6.0629333,43.0,122.0,213.0,Bedrijventerrein Voorst-C,Bedrijventerrein Voorst-C,707146.991225405,4106.82728749417,Bedrijventerrein Voorst-C
SDE1723166,SDE,2018,Zonne-energie,"92,255",52.508059,6.1258622,64.0,143.0,403.0,Kantorenterrein Oosterenk,Kantorenterrein Oosterenk,1093895.85983143,5213.289011864311,Kantorenterrein Oosterenk
SDE1724011,SDE,2021,Zonne-energie,"1,860,651",52.53467,6.1675392,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1725996,SDE,2020,Zonne-energie,"214,691",52.508377,6.1040543,44.0,123.0,133.0,Wezenlanden,Wezenlanden,571359.566811339,3546.55421354131,Wezenlanden
SDE1730292,SDE,2018,Zonne-energie,"110,462",52.524128,6.0635617,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
SDE1736844,SDE,2019,Zonne-energie,"153,459",52.494547,6.1390944,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1737640,SDE,2019,Zonne-energie,"76,608",52.499075,6.1239317,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1738258,SDE,2018,Zonne-energie,"208,962",52.489252,6.1395124,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1741564,SDE,2020,Zonne-energie,"141,075",52.513713,6.0535751,43.0,122.0,213.0,Bedrijventerrein Voorst-C,Bedrijventerrein Voorst-C,707146.991225405,4106.82728749417,Bedrijventerrein Voorst-C
SDE1746131,SDE,2018,Zonne-energie,"329,175",52.53467,6.1675392,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1749966,SDE,2019,Zonne-energie,"190,238",52.520888,6.1831097,11.0,90.0,410.0,Herfte,Herfte,7623847.09543273,13915.743123537599,Herfte
SDE1750793,SDE,2020,Zonne-energie,"303,440",52.481464,6.1364218,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1754102,SDE,2019,Zonne-energie,"86,696",52.498252,6.0944104,17.0,96.0,500.0,Oud Schelle,Oud-Schelle,350500.37417387,3357.77484968226,Oud-Schelle
SDE1755287,SDE,2020,Zonne-energie,"35,938,500",52.5072,6.097708,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1755467,SDE,2022,Zonne-energie,"798,998",52.53467,6.1675392,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1757778,SDE,2020,Zonne-energie,"119,928",52.515632,6.0572346,43.0,122.0,213.0,Bedrijventerrein Voorst-C,Bedrijventerrein Voorst-C,707146.991225405,4106.82728749417,Bedrijventerrein Voorst-C
SDE1761295,SDE,2019,Zonne-energie,"98,753",52.504722,6.1225094,75.0,154.0,121.0,Wipstrik-zuid,Wipstrik-Zuid,576065.244466382,4990.711618550141,Wipstrik-Zuid
SDE1766422,SDE,2020,Zonne-energie,"282,504",52.514537,6.0658382,69.0,148.0,201.0,Bedrijventerrein Voorst-B,Bedrijventerrein Voorst-B,943738.04524313,4115.67759184265,Bedrijventerrein Voorst-B
SDE1766928,SDE,2019,Zonne-energie,"879,795",52.544049,6.1764078,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1768074,SDE,2020,Zonne-energie,"235,895",52.500033,6.1299002,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1768276,SDE,2020,Zonne-energie,"28,728",52.502694,6.1188548,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
SDE1768373,SDE,2019,Zonne-energie,"34,713",52.486958,6.1148244,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
SDE1773095,SDE,2020,Zonne-energie,"5,094,090",52.5072,6.097708,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1774279,SDE,2019,Zonne-energie,"134,435",52.494547,6.1390944,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1780894,SDE,2019,Zonne-energie,"33,516",52.502418,6.0996979,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1782787,SDE,2020,Zonne-energie,"20,070,270",52.484774,6.1406342,2.0,81.0,412.0,Wijthmen,Wijthmen,7340503.59570168,13680.8649491802,Wijthmen
SDE1782949,SDE,2020,Zonne-energie,"383,040",52.517561,6.0605245,43.0,122.0,213.0,Bedrijventerrein Voorst-C,Bedrijventerrein Voorst-C,707146.991225405,4106.82728749417,Bedrijventerrein Voorst-C
SDE1783928,SDE,2019,Zonne-energie,"273,686",52.471081,6.1084907,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
SDE1787432,SDE,2019,Zonne-energie,"179,458",52.499075,6.1239317,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1790468,SDE,2019,Zonne-energie,"6,678,263",52.509288,6.1377469,16.0,95.0,402.0,Veldhoek,Veldhoek,3208887.1281542,8476.613578610952,Veldhoek
SDE1794932,SDE,2018,Zonne-energie,"17,337",52.5059,6.0944711,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
SDE1810265,SDE,2020,Zonne-energie,"257,868",52.520888,6.1831097,11.0,90.0,410.0,Herfte,Herfte,7623847.09543273,13915.743123537599,Herfte
SDE1810675,SDE,2021,Zonne-energie,"600,376",52.514537,6.0658382,69.0,148.0,201.0,Bedrijventerrein Voorst-B,Bedrijventerrein Voorst-B,943738.04524313,4115.67759184265,Bedrijventerrein Voorst-B
SDE1814475,SDE,2020,Zonne-energie,"43,121",52.501861,6.0854736,6.0,85.0,136.0,Hanzeland,Hanzeland,709901.277793967,4977.733776532761,Hanzeland
SDE1815635,SDE,2019,Zonne-energie,"1,914,987",52.546132,6.1753688,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1815882,SDE,2019,Zonne-energie,"19,658",52.517953,6.0891236,30.0,109.0,110.0,Het noorden,Het Noorden,250575.999896122,2149.23921637447,Het Noorden
SDE1817271,SDE,2018,Zonne-energie,"86,223",52.540887,6.1698482,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1817282,SDE,2023,Zonne-energie,"950,418",52.521272,6.1170045,40.0,119.0,118.0,Bedrijventerrein Floresstraat,Bedrijventerrein Floresstraat,158364.52590740798,1844.9512111245,Bedrijventerrein Floresstraat
SDE1819330,SDE,2021,Zonne-energie,"1,641,657",52.989688,6.0959723,,,,,,,,
SDE1819551,SDE,2020,Zonne-energie,"4,004,963",52.5072,6.097708,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1820339,SDE,2020,Zonne-energie,"162,792",52.534526,6.1729359,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1820351,SDE,2021,Zonne-energie,"114,727",52.556157,6.1743608,37.0,116.0,322.0,Haerst,Haerst,13150215.9604373,25404.8628740021,Haerst
