postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie
8011NX,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1
8011NZ,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Dakisolatie,Dakisolatie
8011PJ,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1
8011RT,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water < 1 kW
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water >= 3
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3
8011SH,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011SX,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Glasisolatie,Triple glas U <= 0
8011TD,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 3
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Dakisolatie,Dakisolatie
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Vloerisolatie,Vloerisolatie
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Warmtepomp,Lucht-water < 1 kW
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Warmtepomp,Lucht-water >= 3
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2024.0,Warmtepomp,Lucht-water < 1 kW
8011VJ,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Glasisolatie,HR++ glas U <= 1
8011XB,Wijk 10 Binnenstad,Noordereiland,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011XB,Wijk 10 Binnenstad,Noordereiland,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011XT,Wijk 10 Binnenstad,Noordereiland,2023.0,Glasisolatie,HR++ glas U <= 1
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012AB,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie
8012AB,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2021.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2021.0,Vloerisolatie,Vloerisolatie
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Bodemisolatie
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water >= 3
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Vloerisolatie,Vloerisolatie
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Vloerisolatie,Vloerisolatie
