telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
52,2023-08-03,8016LM,52.47652853448276,6.102609979310345,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
53,2023-08-03,8016AP,52.48352175,6.10378949,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
54,2023-10-03,8042CX,52.52381090625,6.04775500625,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
55,2023-10-03,8032JK,52.5318581,6.1044671125,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
56,2023-03-13,8014JA,52.486034289473686,6.119331278947368,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
57,2023-03-13,8033DH,52.54046761111111,6.1074654,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
58,2023-03-14,8016LT,52.47904020869565,6.10486345652174,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
59,2023-03-16,8014JK,52.48767726190477,6.122506095238095,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
60,2023-03-17,8017AM,52.49860251463414,6.0936753585365855,17.0,96.0,500.0,Oud Schelle,Oud-Schelle,350500.37417387,3357.77484968226,Oud-Schelle
61,2023-03-20,8023BG,52.516095,6.116290338461538,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
62,2023-03-23,8012VM,52.50431255,6.098709,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
63,2023-03-24,8014ZC,52.48707243333333,6.1090202,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
64,2023-03-24,8017MC,52.4919765375,6.0969482625,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
65,2023-03-31,8014JK,52.48767726190477,6.122506095238095,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
66,2023-03-31,8016AK,52.48489381666667,6.103779727777778,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
67,2023-03-04,8025AR,52.50928133548387,6.121104977419355,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
68,2023-04-04,8015PT,52.44722683636364,6.112468559090909,33.0,112.0,521.0,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
69,2023-07-04,8015PW,52.45735664210526,6.11322307368421,33.0,112.0,521.0,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
70,2023-04-13,8016MG,52.47509087272727,6.108542836363637,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
71,2023-04-14,8014GE,52.48884013,6.1208420100000005,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
72,2023-04-19,8014EJ,52.4914725,6.113419466666667,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
73,2023-04-19,8014CD,52.49109413636364,6.110681168181818,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
74,2023-04-19,8017DE,52.4980057,6.08498416,15.0,94.0,502.0,Schellerbroek,Schellerbroek,632342.762411758,4437.08256042035,Schellerbroek
75,2023-04-23,8032TE,52.539460824,6.100138764,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
76,2023-04-24,8016AW,52.483841208,6.105006428,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
77,2023-04-25,8022RT,52.52050519,6.11112061,23.0,102.0,115.0,Hogenkamp,Hogenkamp,725490.5781418971,3731.5269156979803,Hogenkamp
78,2023-04-28,8032LM,52.537457640909096,6.090434222727272,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
79,2023-02-05,8012WD,52.50535361052632,6.101815889473684,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
80,2023-10-05,8014CT,52.486794575,6.114022575,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
81,2023-10-05,8023DJ,52.51396303571428,6.113778914285714,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
82,2023-12-05,8014AM,52.4865822,6.1105746,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
83,2023-12-05,8043VN,52.528791593548384,6.05448854516129,50.0,129.0,220.0,Frankhuis,Frankhuis,1152867.97674939,4486.951371843661,Frankhuis
84,2023-05-15,8017JB,52.5015206,6.0935362,6.0,85.0,136.0,Hanzeland,Hanzeland,709901.277793967,4977.733776532761,Hanzeland
85,2023-05-16,8014MN,52.482037176,6.11988424,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
86,2023-05-17,8016LL,52.47776426315789,6.1050874578947365,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
