postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Glasisolatie,HR++ glas U <= 1,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Vloerisolatie,Vloerisolatie,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CH,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Warmtepomp,Lucht-water >= 3,52.47540818235294,6.1215894764705885,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CJ,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Glasisolatie,HR++ glas U <= 1,52.47370815833333,6.122571408333334,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CJ,Wijk 51 Ittersum,Ittersumerbroek,2022.0,Vloerisolatie,Vloerisolatie,52.47370815833333,6.122571408333334,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CJ,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 3,52.47370815833333,6.122571408333334,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CJ,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Glasisolatie,HR++ glas U <= 1,52.47370815833333,6.122571408333334,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015CZ,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Warmtepomp,Lucht-water >= 3,52.47520787692308,6.123515923076924,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015DW,Wijk 51 Ittersum,Ittersumerbroek,2023.0,Glasisolatie,HR++ glas U <= 1,52.47736732857143,6.115693857142857,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015DW,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.47736732857143,6.115693857142857,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
